ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000166,.jpg,冰川时代,Ice Age,冰河世纪  /  冰原历险记,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   ,主演...,2002 , 美国 , 喜剧 动画 冒险,8.5,327257人
000167,.jpg,魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦,Mervyn LeRoy   ,Vivien Leigh / Robert Taylor / Lucile Watson,1940 , 美国 , 剧情 战争 爱情,8.8,148603人
000168,.jpg,我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台),杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,2001 , 美国 , 剧情 家庭,8.8,128055人
000169,.jpg,穿越时空的少女,時をかける少女,跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,细田守 Mamoru Hosoda   ,仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006 , 日本 , 剧情 爱情 科幻 动画,8.6,217273人
000170,.jpg,猜火车,Trainspotting,迷幻列车(港)  /  定位的火车,丹尼·博伊尔 Danny Boyle   ,伊万·麦克格雷格 Ewan McGregor / ...,1996 , 英国 , 犯罪 剧情,8.5,281556人
000171,.jpg,人工智能,Artificial Intelligence: AI,AI人工智慧,史蒂文·斯皮尔伯格 Steven Spielberg   ,海利·乔·奥斯蒙 Haley...,2001 , 美国 , 冒险 剧情 科幻,8.6,225956人
000172,.jpg,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台),彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb..,.,2015 , 美国 , 喜剧 动画 冒险,8.7,285464人
000173,.jpg,被解救的姜戈,Django Unchained,被解放的姜戈  /  决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino   ,杰米·福克斯 Jamie Foxx /...,2012 , 美国 , 剧情 动作 西部 冒险,8.6,306746人
000174,.jpg,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台),达米安·沙泽勒 Damien Chazelle   ,迈尔斯·特勒 Miles Teller /...,2014 , 美国 , 剧情 音乐,8.6,282640人
000175,.jpg,未麻的部屋,Perfect Blue,蓝色的恐惧  /  蓝色恐惧,今敏 Satoshi Kon   ,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997 , 日本 , 动画 奇幻 惊悚,8.9,122003人
000176,.jpg,你的名字。,君の名は。,你的名字  /  君之名,新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,2016 , 日本 , 剧情 爱情 动画,8.4,608652人
000177,.jpg,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险,瑞奇·莫尔 Rich Moore   ,约翰·C·赖利 John C. Reilly / 萨拉...,2012 , 美国 , 喜剧 动画 奇幻 冒险,8.7,247524人
000178,.jpg,罗生门,羅生門,Rashomon,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 千秋实 ...,1950 , 日本 , 犯罪 剧情 悬疑,8.7,152479人
000179,.jpg,浪潮,Die Welle,恶魔教室(台)  /  白恤暴潮(港),丹尼斯·甘塞尔 Dennis Gansel   ,尤尔根·沃格尔 Jürgen Vogel ...,2008 , 德国 , 剧情 惊悚,8.7,154994人
000180,.jpg,阿飞正传,阿飛正傳,Days of Being Wild,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990 , 香港 , 犯罪 剧情 爱情,8.5,252384人
000181,.jpg,香水,Perfume: The Story of a Murderer,香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,汤姆·提克威 Tom Tykwer   ,本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006 , 德国 法国 西班牙 美国 , 剧情 犯罪 奇幻,8.4,321818人
000182,.jpg,朗读者,The Reader,为爱朗读(台)  /  读爱(港),史蒂芬·戴德利 Stephen Daldry   ,凯特·温丝莱特 Kate Winslet ...,2008 , 美国 德国 , 剧情 爱情,8.5,309401人
000183,.jpg,房间,Room,不存在的房间(台)  /  抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson   ,布丽·拉尔森 Brie Larson...,2015 , 爱尔兰 加拿大 英国 美国 , 剧情 家庭,8.8,193256人
000184,.jpg,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏,莫腾·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,2014 , 英国 美国 , 剧情 传记 战争 同性,8.6,307281人
