ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000001,.jpg,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont   ,蒂姆·罗宾斯 Tim Robbins /...,1994 , 美国 , 犯罪 剧情,9.6,1241123人
000002,.jpg,霸王别姬,,再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993 , 中国大陆 香港 , 剧情 爱情 同性,9.6,914326人
000003,.jpg,这个杀手不太冷,Léon,杀手莱昂  /  终极追杀令(台),吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994 , 法国 , 剧情 动作 犯罪,9.4,1140705人
000004,.jpg,阿甘正传,Forrest Gump,福雷斯特·冈普,Robert Zemeckis   ,Tom Hanks / Robin Wright Penn / Gary Sinise,1994 , 美国 , 剧情 爱情,9.4,978580人
000005,.jpg,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,1997 , 意大利 , 剧情 喜剧 爱情 战争,9.5,571904人
000006,.jpg,泰坦尼克号,Titanic,铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,1997 , 美国 , 剧情 爱情 灾难,9.3,914275人
000007,.jpg,千与千寻,千と千尋の神隠し,神隐少女(台)  /  Spirited Away,宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001 , 日本 , 剧情 动画 奇幻,9.3,908660人
000008,.jpg,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,1993 , 美国 , 剧情 历史 战争,9.5,513558人
000009,.jpg,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,2010 , 美国 英国 , 剧情 科幻 悬疑 冒险,9.3,994109人
000010,.jpg,机器人总动员,WALL·E,瓦力(台)  /  太空奇兵·威E(港),安德鲁·斯坦顿 Andrew Stanton   ,本·贝尔特 Ben Burtt / 艾丽...,2008 , 美国 , 爱情 科幻 动画 冒险,9.3,659888人
000011,.jpg,忠犬八公的故事,Hachi: A Dog's Tale,忠犬小八(台)  /  秋田犬八千(港),莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,2009 , 美国 英国 , 剧情,9.3,645681人
000012,.jpg,三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港),拉库马·希拉尼 Rajkumar Hirani   ,阿米尔·汗 Aamir Khan / 卡...,2009 , 印度 , 剧情 喜剧 爱情 歌舞,9.2,889275人
000013,.jpg,海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore   ,蒂姆·罗斯 Tim Roth / ...,1998 , 意大利 , 剧情 音乐,9.2,742080人
000014,.jpg,放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩,克里斯托夫·巴拉蒂 Christophe Barratier   ,杰拉尔·朱诺 Géra...,2004 , 法国 瑞士 德国 , 剧情 音乐,9.2,612500人
000015,.jpg,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记,刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 , 香港 中国大陆 , 喜剧 爱情 奇幻 冒险,9.2,679599人
000016,.jpg,楚门的世界,The Truman Show,真人Show(港)  /  真人戏,彼得·威尔 Peter Weir   ,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998 , 美国 , 剧情 科幻,9.2,660931人
000017,.jpg,龙猫,となりのトトロ,邻居托托罗  /  邻家的豆豆龙,宫崎骏 Hayao Miyazaki   ,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988 , 日本 , 动画 奇幻 冒险,9.1,590502人
000018,.jpg,星际穿越,Interstellar,星际启示录(港)  /  星际效应(台),克里斯托弗·诺兰 Christopher Nolan   ,马修·麦康纳 Matthew Mc...,2014 , 美国 英国 加拿大 冰岛 , 剧情 科幻 冒险,9.2,673846人
000019,.jpg,教父,The Godfather,Mario Puzo's The Godfather,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,马龙·白兰度 M...,1972 , 美国 , 剧情 犯罪,9.2,449753人
000020,.jpg,熔炉,도가니,无声呐喊(港)  /  漩涡,黄东赫 Dong-hyuk Hwang   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,2011 , 韩国 , 剧情,9.3,384570人
000021,.jpg,无间道,無間道,Infernal Affairs  /  Mou gaan dou,刘伟强 / 麦兆辉   ,刘德华 / 梁朝伟 / 黄秋生,2002 , 香港 , 剧情 犯罪 悬疑,9.1,558867人
000022,.jpg,当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐,加布里尔·穆奇诺 Gabriele Muccino   ,威尔·史密斯 Will Smith ...,2006 , 美国 , 剧情 传记 家庭,9.0,719097人
000023,.jpg,触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..,.,2011 , 法国 , 剧情 喜剧,9.2,476954人
000024,.jpg,怦然心动,Flipped,萌动青春  /  青春萌动,罗伯·莱纳 Rob Reiner   ,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010 , 美国 , 剧情 喜剧 爱情,9.0,776734人
000025,.jpg,疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,金妮弗·...,2016 , 美国 , 喜剧 动画 冒险,9.2,742716人
000026,.jpg,乱世佳人,Gone with the Wind,飘,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   ,费...,1939 , 美国 , 剧情 历史 爱情 战争,9.2,340228人
000027,.jpg,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2008 , 美国 英国 , 剧情 动作 科幻 犯罪 惊悚,9.1,449168人
000028,.jpg,活着,,人生  /  Lifetimes,张艺谋 Yimou Zhang   ,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994 , 中国大陆 香港 , 剧情 历史 家庭,9.2,369584人
000029,.jpg,天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore   ,安东娜拉·塔莉 Antonel...,1988 , 意大利 法国 , 剧情 爱情,9.1,372821人
000030,.jpg,少年派的奇幻漂流,Life of Pi,少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee   ,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012 , 美国 台湾 英国 加拿大 , 剧情 奇幻 冒险,9.0,734377人
000031,.jpg,十二怒汉,12 Angry Men,12怒汉  /  十二怒汉,Sidney Lumet   ,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957 , 美国 , 剧情,9.4,219015人
000032,.jpg,鬼子来了,,Devils on the Doorstep,姜文 Wen Jiang   ,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000 , 中国大陆 , 剧情 历史 战争,9.2,304940人
000033,.jpg,指环王3：王者无敌,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临(台 / 港),彼得·杰克逊 Peter Jackson   ,维果·莫腾森 Viggo Mortensen / ...,2003 , 美国 新西兰 , 剧情 动作 奇幻 冒险,9.1,365183人
000034,.jpg,控方证人,Witness for the Prosecution,雄才伟略  /  情妇,比利·怀尔德 Billy Wilder   ,查尔斯·劳顿 Charles Laughton / ...,1957 , 美国 , 剧情 犯罪 悬疑,9.6,150453人
000035,.jpg,天空之城,天空の城ラピュタ,Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,宫崎骏 Hayao Miyazaki   ,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986 , 日本 , 动画 奇幻 冒险,9.0,426511人
000036,.jpg,搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台),大卫·芬奇 David Fincher   ,爱德华·诺顿 Edward Norton / 布拉...,1999 , 美国 德国 , 剧情 动作 悬疑 惊悚,9.0,480285人
000037,.jpg,飞屋环游记,Up,冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   ,爱德...,2009 , 美国 , 剧情 喜剧 动画 冒险,8.9,648789人
000038,.jpg,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 , 香港 中国大陆 , 喜剧 爱情 奇幻 冒险,8.9,547570人
000039,.jpg,罗马假日,Roman Holiday,金枝玉叶(港)  /  罗马假期(台),威廉·惠勒 William Wyler   ,奥黛丽·赫本 Audrey Hepburn / 格...,1953 , 美国 , 喜剧 剧情 爱情,9.0,490574人
000040,.jpg,摔跤吧！爸爸,Dangal,我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari   ,阿米尔·汗 Aamir Khan / 法缇玛...,2016 , 印度 , 剧情 传记 运动 家庭,9.1,666945人
000041,.jpg,窃听风暴,Das Leben der Anderen,他人的生活  /  别人的生活,弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ..,.,2006 , 德国 , 剧情 悬疑,9.1,291367人
000042,.jpg,哈尔的移动城堡,ハウルの動く城,呼啸山城  /  霍尔的移动城堡,宫崎骏 Hayao Miyazaki   ,倍赏千惠子 Chieko Baishô / 木村拓...,2004 , 日本 , 动画 奇幻 冒险,8.9,464571人
000043,.jpg,辩护人,변호인,逆权大状(港)  /  正义辩护人(台),杨宇硕 Woo-seok Yang   ,宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,2013 , 韩国 , 剧情,9.2,288609人
000044,.jpg,闻香识女人,Scent of a Woman,女人香  /  女人的芳香,马丁·布莱斯 Martin Brest   ,阿尔·帕西诺 Al Pacino / 克里斯...,1992 , 美国 , 剧情,9.0,416533人
000045,.jpg,两杆大烟枪,Lock Stock and Two Smoking Barrels,够姜四小强(港)  /  两根枪管(台),Guy Ritchie   ,Jason Flemyng / Dexter Fletcher / Nick Moran,1998 , 英国 , 剧情 喜剧 犯罪,9.1,328902人
000046,.jpg,飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝(台)  /  飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman   ,杰克·尼科尔森 Jack Nichols...,1975 , 美国 , 剧情,9.0,332801人
000047,.jpg,死亡诗社,Dead Poets Society,暴雨骄阳(港)  /  春风化雨(台),彼得·威尔 Peter Weir   ,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989 , 美国 , 剧情,9.0,356795人
000048,.jpg,V字仇杀队,V for Vendetta,V煞(港)  /  V怪客(台),詹姆斯·麦克特格 James McTeigue   ,娜塔莉·波特曼 Natalie Por...,2005 , 美国 英国 德国 , 剧情 动作 科幻 惊悚,8.8,540699人
000049,.jpg,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,魔戒二部曲：双城奇谋  /  指环王II：双塔,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2002 , 美国 新西兰 , 剧情 动作 奇幻 冒险,9.0,342610人
000050,.jpg,海豚湾,The Cove,血色海湾(台)  /  海湾,Louie Psihoyos   ,John Chisholm / Mandy-Rae Cruikshank / Char...,2009 , 美国 , 纪录片,9.3,219062人
000051,.jpg,教父2,The Godfather: Part Ⅱ,教父续集  /  教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1974 , 美国 , 剧情 犯罪,9.1,243400人
000052,.jpg,指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,魔戒首部曲：魔戒现身  /  指环王I：护戒使者,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2001 , 新西兰 美国 , 剧情 动作 奇幻 冒险,8.9,383586人
000053,.jpg,饮食男女,飲食男女,Eat Drink Man Woman,李安 Ang Lee   ,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994 , 台湾 美国 , 剧情 家庭,9.1,263813人
000054,.jpg,美丽心灵,A Beautiful Mind,有你终生美丽(港)  /  美丽境界(台),朗·霍华德 Ron Howard   ,罗素·克劳 Russell Crowe / 艾德·哈...,2001 , 美国 , 传记 剧情,8.9,380188人
000055,.jpg,素媛,소원,许愿  /  希望：为爱重生(台),李濬益 Jun-ik Lee   ,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013 , 韩国 , 剧情,9.1,250479人
000056,.jpg,情书,Love Letter,When I Close My Eyes  /  Letters of Love,岩井俊二 Shunji Iwai   ,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 , 日本 , 剧情 爱情,8.8,471145人
000057,.jpg,狮子王,The Lion King,狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff   ,乔纳森·泰勒·托马...,1994 , 美国 , 剧情 动画 冒险 歌舞 家庭,8.9,362047人
000058,.jpg,末代皇帝,The Last Emperor,末代皇帝溥仪(港),贝纳尔多·贝托鲁奇 Bernardo Bertolucci   ,尊龙 John Lone / 陈...,1987 , 英国 意大利 中国大陆 法国 美国 , 剧情 传记 历史,9.1,258262人
000059,.jpg,钢琴家,The Pianist,战地琴声(台)  /  战地琴人,罗曼·波兰斯基 Roman Polanski   ,艾德里安·布洛迪 Adrien Brod...,2002 , 法国 德国 英国 波兰 , 剧情 传记 历史 战争 音乐,9.1,250821人
000060,.jpg,美国往事,Once Upon a Time in America,四海兄弟(台)  /  义薄云天(港),赛尔乔·莱翁内 Sergio Leone   ,罗伯特·德尼罗 Robert De Niro ...,1984 , 意大利 美国 , 犯罪 剧情,9.1,215943人
000061,.jpg,小鞋子,بچههای آسمان,天堂的孩子  /  小童鞋,马基德·马基迪 Majid Majidi   ,Amir Farrokh Hashemian / 默罕...,1997 , 伊朗 , 剧情 家庭 儿童,9.2,182242人
000062,.jpg,七宗罪,Se7en,火线追缉令(台)  /  7宗罪,大卫·芬奇 David Fincher   ,摩根·弗里曼 Morgan Freeman / 布...,1995 , 美国 , 剧情 犯罪 悬疑 惊悚,8.8,523837人
000063,.jpg,本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  班杰明的奇幻旅程(台),大卫·芬奇 David Fincher   ,凯特·布兰切特 Cate Blanchett / ...,2008 , 美国 , 剧情 爱情 奇幻,8.8,489812人
000064,.jpg,被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima   ,中谷美纪 Miki Nakatani / 瑛太 E...,2006 , 日本 , 剧情 歌舞,8.9,378270人
000065,.jpg,致命魔术,The Prestige,顶尖对决(台)  /  死亡魔法(港),克里斯托弗·诺兰 Christopher Nolan   ,休·杰克曼 Hugh Jackman...,2006 , 美国 英国 , 剧情 悬疑 惊悚,8.8,428836人
000066,.jpg,西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore   ,莫妮卡·贝鲁奇 Monica ...,2000 , 意大利 美国 , 剧情 战争 情色,8.8,456254人
000067,.jpg,黑客帝国,The Matrix,廿二世纪杀人网络(港)  /  骇客任务(台),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主..,.,1999 , 美国 澳大利亚 , 动作 科幻,8.9,360606人
000068,.jpg,让子弹飞,,让子弹飞一会儿  /  火烧云,姜文 Wen Jiang   ,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010 , 中国大陆 香港 , 剧情 喜剧 动作 西部,8.7,797892人
000069,.jpg,看不见的客人,Contratiempo,佈局(台)  /  死无对证(港),奥里奥尔·保罗 Oriol Paulo   ,马里奥·卡萨斯 Mario Casas / 阿...,2016 , 西班牙 , 剧情 犯罪 悬疑 惊悚,8.7,490333人
000070,.jpg,拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,1998 , 美国 , 剧情 历史 战争,8.9,309191人
000071,.jpg,天使爱美丽,Le fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet   ,奥黛丽·塔图 Audrey Tau...,2001 , 法国 德国 , 喜剧 爱情,8.7,581214人
000072,.jpg,音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台),Robert Wise   ,朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,1965 , 美国 , 剧情 传记 爱情 歌舞,8.9,287084人
000073,.jpg,低俗小说,Pulp Fiction,黑色追緝令(台)  /  危险人物(港),昆汀·塔伦蒂诺 Quentin Tarantino   ,约翰·特拉沃尔塔 John Tra...,1994 , 美国 , 剧情 喜剧 犯罪,8.8,420254人
000074,.jpg,大闹天宫,,大闹天宫 上下集  /  The Monkey King,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   ,邱岳峰 Yuefeng Qiu /...,1961(中国大陆) , 1964(中国大陆) , 1978(中国大陆) ,9.3,142037人
000075,.jpg,勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson   ,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995 , 美国 , 动作 传记 剧情 历史 战争,8.8,348303人
000076,.jpg,剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华,Tim Burton   ,约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,1990 , 美国 , 剧情 奇幻 爱情,8.7,591815人
000077,.jpg,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,哈利波特1：神秘的魔法石(港 / 台),Chris Columbus   ,Daniel Radcliffe / Emma Watson / Rupert Grint,2001 , 美国 英国 , 奇幻 冒险,8.8,365184人
000078,.jpg,沉默的羔羊,The Silence of the Lambs,沉默的羔羊,乔纳森·戴米 Jonathan Demme   ,朱迪·福斯特 Jodie Foster / 安...,1991 , 美国 , 剧情 犯罪 惊悚,8.8,428290人
000079,.jpg,蝴蝶效应,The Butterfly Effect,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主..,.,2004 , 美国 加拿大 , 剧情 悬疑 科幻 惊悚,8.7,471539人
000080,.jpg,春光乍泄,春光乍洩,一起快乐  /  Happy Together,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997 , 香港 日本 韩国 , 剧情 爱情 同性,8.9,310563人
000081,.jpg,心灵捕手,Good Will Hunting,骄阳似我(港)  /  心灵捕手,格斯·范·桑特 Gus Van Sant   ,马特·达蒙 Matt Damon / 罗宾·...,1997 , 美国 , 剧情,8.8,342235人
000082,.jpg,入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台),泷田洋二郎 Yôjirô Takita   ,本木雅弘 Masahiro Motoki / ...,2008 , 日本 , 剧情,8.8,367013人
000083,.jpg,猫鼠游戏,Catch Me If You Can,逍遥法外  /  神鬼交锋(台),史蒂文·斯皮尔伯格 Steven Spielberg   ,莱昂纳多·迪卡普里奥 L...,2002 , 美国 加拿大 , 传记 犯罪 剧情,8.8,312006人
000084,.jpg,布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson   ,拉尔夫·费因斯 Ralph Fiennes / ...,2014 , 美国 德国 英国 , 剧情 喜剧 冒险,8.8,412951人
000085,.jpg,禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台),Martin Scorsese   ,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 , 美国 , 剧情 悬疑 惊悚,8.7,453792人
000086,.jpg,玛丽和马克思,Mary and Max,巧克力情缘(台)  /  同是天涯寂寞客,亚当·艾略特 Adam Elliot   ,托妮·科莱特 Toni Collette / 菲利...,2009 , 澳大利亚 , 剧情 动画,8.9,265479人
000087,.jpg,阳光灿烂的日子,,In the Heat of the Sun,姜文 Wen Jiang   ,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994 , 中国大陆 香港 , 剧情,8.8,334513人
000088,.jpg,幽灵公主,もののけ姫,魔法公主  /  幽灵少女,宫崎骏 Hayao Miyazaki   ,松田洋治 Yôji Matsuda / 石田百合...,1997 , 日本 , 动画 奇幻 冒险,8.8,288292人
000089,.jpg,第六感,The Sixth Sense,灵异第六感  /  鬼眼,M·奈特·沙马兰 M. Night Shyamalan   ,布鲁斯·威利斯 Bruce Wi...,1999 , 美国 , 剧情 悬疑 惊悚,8.8,286565人
000090,.jpg,狩猎,Jagten,谎言的烙印(台)  /  诬网(港),托马斯·温特伯格 Thomas Vinterberg   ,麦斯·米科尔森 Mads Mik...,2012 , 丹麦 瑞典 , 剧情,9.1,169324人
000091,.jpg,重庆森林,重慶森林,Chungking Express,王家卫 Kar Wai Wong   ,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994 , 香港 , 剧情 爱情,8.7,407843人
000092,.jpg,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩,马克·赫门 Mark Herman   ,阿沙·巴特菲尔德 Asa Butterfield / ...,2008 , 英国 美国 , 剧情 战争,9.0,200313人
000093,.jpg,致命ID,Identity,杀人游戏  /  致命身份,James Mangold   ,John Cusack / Ray Liotta / Amanda Peet,2003 , 美国 , 剧情 悬疑 惊悚,8.7,394741人
000094,.jpg,断背山,Brokeback Mountain,断臂山  /  BBM,李安 Ang Lee   ,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005 , 美国 加拿大 , 剧情 爱情 同性 家庭,8.7,391667人
000095,.jpg,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski   ,约翰尼·德普 Johnny Depp / ...,2003 , 美国 , 动作 冒险 奇幻,8.6,436831人
000096,.jpg,阿凡达,Avatar,天神下凡(港)  /  化身,詹姆斯·卡梅隆 James Cameron   ,萨姆·沃辛顿 Sam Worthington ...,2009 , 美国 英国 , 动作 战争 科幻 冒险,8.6,653987人
000097,.jpg,摩登时代,Modern Times,The Masses  /  Temps modernes Les,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1936 , 美国 , 喜剧 剧情 爱情,9.2,118952人
000098,.jpg,大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台),蒂姆·波顿 Tim Burton   ,伊万·麦克格雷格 Ewan McGregor / 阿...,2003 , 美国 , 剧情 家庭 奇幻 冒险,8.7,305279人
000099,.jpg,告白,,自白  /  母亲,中岛哲也 Tetsuya Nakashima   ,松隆子 Takako Matsu / 冈田将生 ...,2010 , 日本 , 剧情 惊悚,8.7,413456人
000100,.jpg,寻梦环游记,Coco,可可夜总会(台)  /  玩转极乐园(港),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   ,...,2017 , 美国 , 喜剧 动画 奇幻 音乐,9.0,620370人
000101,.jpg,一一,,Yi yi  /  Yi yi: A One and a Two,杨德昌 Edward Yang   ,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000 , 台湾 日本 , 剧情 爱情 家庭,9.0,186484人
000102,.jpg,射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本),刘镇伟 Jeffrey Lau   ,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993 , 香港 , 喜剧 古装,8.7,333297人
000103,.jpg,甜蜜蜜,,Comrades: Almost a Love Story,陈可辛 Peter Chan   ,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996 , 香港 , 剧情 爱情,8.8,273473人
000104,.jpg,阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼,姜炯哲 Hyeong-Cheol Kang   ,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011 , 韩国 , 剧情 喜剧,8.8,328363人
000105,.jpg,消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩,大卫·芬奇 David Fincher   ,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014 , 美国 , 剧情 犯罪 悬疑 惊悚,8.7,446354人
000106,.jpg,爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台),理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,1995 , 美国 奥地利 瑞士 , 剧情 爱情,8.7,273924人
000107,.jpg,上帝之城,Cidade de Deus,无主之城 (港)  /  无法无天 (台),Kátia Lund / Fernando Meirelles   ,Alexandre Rodrigues / Lea...,2002 , 巴西 法国 , 犯罪 剧情,8.9,181261人
000108,.jpg,喜剧之王,喜劇之王,King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,周星驰 Stephen Ch...,1999 , 香港 , 喜剧 剧情 爱情,8.6,406518人
000109,.jpg,小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台),森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014 , 日本 , 剧情,8.9,180703人
000110,.jpg,侧耳倾听,耳をすませば,心之谷  /  梦幻街少女,近藤喜文 Yoshifumi Kondo   ,本名阳子 Youko Honna / 小林桂树 K...,1995 , 日本 , 剧情 爱情 动画,8.8,213964人
000111,.jpg,风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki   ,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984 , 日本 , 动画 奇幻 冒险,8.8,213538人
000112,.jpg,恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台),金秉祐 Byeong-woo Kim   ,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013 , 韩国 , 剧情 犯罪 悬疑,8.7,291016人
000113,.jpg,倩女幽魂,,倩女幽魂(87版)  /  A Chinese Ghost Story,程小东 Siu-Tung Ching   ,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987 , 香港 , 剧情 爱情 武侠 古装,8.7,330055人
000114,.jpg,超脱,Detachment,人间师格(台),托尼·凯耶 Tony Kaye   ,艾德里安·布洛迪 Adrien Brody / 马西...,2011 , 美国 , 剧情,8.8,218524人
000115,.jpg,红辣椒,パプリカ,盗梦侦探  /  帕布莉卡,今敏 Satoshi Kon   ,林原惠美 Megumi Hayashibara / 古谷彻 T...,2006 , 日本 , 动画 悬疑 科幻 惊悚,8.9,172396人
000116,.jpg,爱在日落黄昏时,Before Sunset,日落巴黎(港)  /  爱在日落巴黎时(台),理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2004 , 美国 , 剧情 爱情,8.8,241670人
